phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
"2 · Phần nhỏ giữ A",16.6665,8.9382,0.6248,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6674,8.8518,0.6932,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,8.9298,0.6682,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6669,8.8727,0.6693,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,8.8711,0.6874,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6665,8.7777,0.7035,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6675,9.1445,0.6971,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6657,9.0855,0.6831,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6662,9.0968,0.6865,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6673,8.8340,0.6751,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6667,8.8648,0.6707,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6676,8.7465,0.6925,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6678,8.7396,0.7181,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6647,8.6414,0.6352,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6665,8.6345,0.6699,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6669,8.8449,0.6614,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6718,8.8329,0.6925,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6610,8.8331,0.7257,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,8.7817,0.7015,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6678,8.9404,0.6818,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6656,9.0232,0.7226,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6668,9.0790,0.7345,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6666,8.7280,0.6436,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6681,8.9201,0.6595,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6670,8.9618,0.5909,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6648,8.8612,0.6158,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6665,8.7458,0.5991,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6707,8.9905,0.5999,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6629,8.8527,0.5976,0.0000,0.0000,2
"2 · Phần nhỏ giữ A",16.6679,8.8052,0.6285,0.0000,0.0000,2
