phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
2 · Phần nhỏ giữ A,16.7018,8.7532,0.8359,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.7700,0.6233,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6721,8.8756,0.6801,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6904,8.7432,0.6243,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.7341,0.7208,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6701,8.8652,0.6577,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6640,8.8734,0.6469,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6673,8.8795,0.6113,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6659,8.5008,0.6563,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6666,8.7768,0.6502,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6867,9.4303,0.6296,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6656,8.9007,0.5874,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6948,8.7360,0.6560,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6778,8.6915,0.6555,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6825,8.8247,0.6969,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.8834,0.6700,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6664,8.7629,0.5758,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6680,8.6837,0.6890,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6655,8.7323,0.9005,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6674,8.7455,0.7494,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6660,8.5587,0.5851,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6676,8.7790,0.6172,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6703,8.7331,0.7729,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6668,8.7097,0.6422,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6943,8.6570,0.6111,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6666,8.6153,0.7838,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6670,8.6082,0.6504,0.0000,0.0000,2
